_id,play_type,yards_gained,interception,fumble_lost,rush_attempt,pass_attempt,pass_touchdown,rush_touchdown,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name
ObjectId("5c0c8fed4881fd17b071f694"),run,4,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f695"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f696"),run,0,0,0,1,0,0,0,NA,NA,NA,NA,00-0031806,M.Brown
ObjectId("5c0c8fed4881fd17b071f697"),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f698"),pass,19,0,0,0,1,0,0,00-0033106,J.Goff,00-0030431,R.Woods,NA,NA
ObjectId("5c0c8fed4881fd17b071f699"),pass,0,0,0,0,1,0,0,00-0033106,J.Goff,00-0033110,T.Higbee,NA,NA
ObjectId("5c0c8fed4881fd17b071f69a"),pass,15,0,0,0,1,0,0,00-0033106,J.Goff,00-0033908,C.Kupp,NA,NA
ObjectId("5c0c8fed4881fd17b071f69b"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f69c"),run,-4,0,0,1,0,0,0,NA,NA,NA,NA,00-0030525,T.Austin
ObjectId("5c0c8fed4881fd17b071f69d"),pass,24,0,0,0,1,0,0,00-0033106,J.Goff,00-0033908,C.Kupp,NA,NA
ObjectId("5c0c8fed4881fd17b071f69e"),pass,0,0,0,0,1,0,0,00-0033106,J.Goff,00-0030525,T.Austin,NA,NA
ObjectId("5c0c8fed4881fd17b071f69f"),pass,0,0,0,0,1,0,0,00-0033106,J.Goff,00-0030431,R.Woods,NA,NA
ObjectId("5c0c8fed4881fd17b071f6a0"),pass,0,0,0,0,1,0,0,00-0033106,J.Goff,00-0033895,G.Everett,NA,NA
ObjectId("5c0c8fed4881fd17b071f6a1"),field_goal,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6a2"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6a3"),run,1,0,0,1,0,0,0,NA,NA,NA,NA,00-0033045,E.Elliott
ObjectId("5c0c8fed4881fd17b071f6a4"),pass,0,0,0,0,1,0,0,00-0033077,D.Prescott,00-0027902,D.Bryant,NA,NA
ObjectId("5c0c8fed4881fd17b071f6a5"),pass,0,1,0,0,1,0,0,00-0033077,D.Prescott,00-0029000,C.Beasley,NA,NA
ObjectId("5c0c8fed4881fd17b071f6a6"),run,-4,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6a7"),run,8,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6a8"),pass,0,0,0,0,1,0,0,00-0033106,J.Goff,00-0031325,S.Watkins,NA,NA
ObjectId("5c0c8fed4881fd17b071f6a9"),field_goal,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6aa"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6ab"),pass,12,0,0,0,1,0,0,00-0033077,D.Prescott,00-0029000,C.Beasley,NA,NA
ObjectId("5c0c8fed4881fd17b071f6ac"),run,5,0,0,1,0,0,0,NA,NA,NA,NA,00-0033045,E.Elliott
ObjectId("5c0c8fed4881fd17b071f6ad"),pass,12,0,0,0,1,0,0,00-0033077,D.Prescott,00-0027902,D.Bryant,NA,NA
ObjectId("5c0c8fed4881fd17b071f6ae"),pass,18,0,0,0,1,0,0,00-0033077,D.Prescott,00-0027902,D.Bryant,NA,NA
ObjectId("5c0c8fed4881fd17b071f6af"),pass,28,0,0,0,1,1,0,00-0033077,D.Prescott,00-0029634,J.Hanna,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b0"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b1"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b2"),pass,0,0,0,0,1,0,0,00-0033077,D.Prescott,00-0030542,T.Williams,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b3"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b4"),run,5,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6b5"),pass,0,0,0,0,1,0,0,00-0033106,J.Goff,00-0033110,T.Higbee,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b6"),pass,12,0,0,0,1,0,0,00-0033106,J.Goff,00-0032241,T.Gurley,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b7"),run,4,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6b8"),pass,17,0,0,0,1,0,0,00-0033106,J.Goff,00-0031325,S.Watkins,NA,NA
ObjectId("5c0c8fed4881fd17b071f6b9"),run,2,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6ba"),run,12,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6bb"),run,11,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6bc"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6bd"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6be"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6bf"),run,-1,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6c0"),no_play,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6c1"),run,12,0,0,1,0,0,0,NA,NA,NA,NA,00-0030525,T.Austin
ObjectId("5c0c8fed4881fd17b071f6c2"),run,-1,0,0,1,0,0,0,NA,NA,NA,NA,00-0032241,T.Gurley
ObjectId("5c0c8fed4881fd17b071f6c3"),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6c4"),field_goal,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6c5"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6c6"),pass,9,0,0,0,1,0,0,00-0033077,D.Prescott,00-0022127,J.Witten,NA,NA
ObjectId("5c0c8fed4881fd17b071f6c7"),pass,0,0,0,0,1,0,0,00-0033077,D.Prescott,00-0030542,T.Williams,NA,NA
ObjectId("5c0c8fed4881fd17b071f6c8"),run,6,0,0,1,0,0,0,NA,NA,NA,NA,00-0033045,E.Elliott
ObjectId("5c0c8fed4881fd17b071f6c9"),pass,0,0,0,0,1,0,0,00-0033077,D.Prescott,00-0029000,C.Beasley,NA,NA
ObjectId("5c0c8fed4881fd17b071f6ca"),pass,0,0,0,0,1,0,0,00-0033077,D.Prescott,00-0027902,D.Bryant,NA,NA
ObjectId("5c0c8fed4881fd17b071f6cb"),run,12,0,0,1,0,0,0,NA,NA,NA,NA,00-0033077,D.Prescott
ObjectId("5c0c8fed4881fd17b071f6cc"),qb_spike,0,0,0,0,1,0,0,00-0033077,D.Prescott,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6cd"),pass,0,0,0,0,1,0,0,00-0033077,D.Prescott,00-0033045,E.Elliott,NA,NA
ObjectId("5c0c8fed4881fd17b071f6ce"),pass,0,0,0,0,1,0,0,00-0033077,D.Prescott,00-0027902,D.Bryant,NA,NA
ObjectId("5c0c8fed4881fd17b071f6cf"),pass,9,0,0,0,1,0,0,00-0033077,D.Prescott,00-0033045,E.Elliott,NA,NA
ObjectId("5c0c8fed4881fd17b071f6d0"),qb_kneel,-1,0,0,1,0,0,0,NA,NA,NA,NA,00-0033106,J.Goff
ObjectId("5c0c8fed4881fd17b071f6d1"),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ObjectId("5c0c8fed4881fd17b071f6d2"),kickoff,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
