_id,value
J.Smith-Schuster,"{"touchdowns":7,"yards":917,"IsQB":false,"points":133}"
A.Jeffery,"{"touchdowns":9,"yards":789,"IsQB":false,"points":132}"
D.Funchess,"{"touchdowns":8,"yards":840,"IsQB":false,"points":132}"
G.Tate,"{"touchdowns":5,"yards":1027,"IsQB":false,"points":132}"
M.Evans,"{"touchdowns":5,"yards":1006,"IsQB":false,"points":130}"
Z.Ertz,"{"touchdowns":8,"yards":824,"IsQB":false,"points":130}"
A.Rodgers,"{"touchdowns":16,"yards":1638,"IsQB":true,"points":129}"
J.McKinnon,"{"touchdowns":5,"yards":993,"IsQB":false,"points":129}"
M.Trubisky,"{"touchdowns":9,"yards":2226,"IsQB":true,"points":125}"
N.Agholor,"{"touchdowns":8,"yards":775,"IsQB":false,"points":125}"
B.Powell,"{"touchdowns":5,"yards":942,"IsQB":false,"points":124}"
C.Thompson,"{"touchdowns":6,"yards":888,"IsQB":false,"points":124}"
D.Henry,"{"touchdowns":6,"yards":880,"IsQB":false,"points":124}"
B.Hundley,"{"touchdowns":11,"yards":1924,"IsQB":true,"points":120}"
J.Allen,"{"touchdowns":6,"yards":841,"IsQB":false,"points":120}"
K.Stills,"{"touchdowns":6,"yards":847,"IsQB":false,"points":120}"
T.Hilton,"{"touchdowns":4,"yards":966,"IsQB":false,"points":120}"
D.Bryant,"{"touchdowns":6,"yards":835,"IsQB":false,"points":119}"
C.Kupp,"{"touchdowns":5,"yards":882,"IsQB":false,"points":118}"
J.Williams,"{"touchdowns":6,"yards":818,"IsQB":false,"points":117}"
O.Darkwa,"{"touchdowns":5,"yards":869,"IsQB":false,"points":116}"
I.Crowell,"{"touchdowns":2,"yards":1037,"IsQB":false,"points":115}"
J.Ajayi,"{"touchdowns":2,"yards":1031,"IsQB":false,"points":115}"
J.Mixon,"{"touchdowns":4,"yards":913,"IsQB":false,"points":115}"
J.Stewart,"{"touchdowns":7,"yards":732,"IsQB":false,"points":115}"
K.Drake,"{"touchdowns":4,"yards":885,"IsQB":false,"points":112}"
M.Goodwin,"{"touchdowns":2,"yards":1006,"IsQB":false,"points":112}"
M.Sanu,"{"touchdowns":6,"yards":764,"IsQB":false,"points":112}"
J.Graham,"{"touchdowns":10,"yards":516,"IsQB":false,"points":111}"
J.Kearse,"{"touchdowns":5,"yards":810,"IsQB":false,"points":111}"
M.Crabtree,"{"touchdowns":8,"yards":626,"IsQB":false,"points":110}"
A.Cooper,"{"touchdowns":7,"yards":674,"IsQB":false,"points":109}"
C.Palmer,"{"touchdowns":9,"yards":1837,"IsQB":true,"points":109}"
E.Engram,"{"touchdowns":6,"yards":736,"IsQB":false,"points":109}"
R.Woods,"{"touchdowns":5,"yards":793,"IsQB":false,"points":109}"
G.Bernard,"{"touchdowns":4,"yards":839,"IsQB":false,"points":107}"
S.Watkins,"{"touchdowns":8,"yards":593,"IsQB":false,"points":107}"
